user_id,product_id,rating,price_scaled,popularity_scaled,category_code,user_activity_frequency,user_avg_rating,item_avg_rating,item_popularity
U001,P001,5,-0.700334499562637,0.0275345258488791,0,2,4.5,4.5,4
U001,P002,4,0.196891193827218,1.0187774564084775,0,2,4.5,3.0,3
U002,P001,4,-0.700334499562637,0.0275345258488791,0,2,4.5,4.5,4
U002,P003,5,0.7950416560871212,-0.6332940945241875,3,2,4.5,4.5,2
U003,P002,3,0.196891193827218,1.0187774564084775,0,2,3.5,3.0,3
U003,P004,4,1.0941168872170728,0.357948836035411,1,2,3.5,4.333333333333333,3
U004,P005,2,-0.8498721151276128,-1.294122714897254,3,2,3.5,2.5,2
U004,P006,5,-1.1190398231445693,-0.3028797843376556,2,2,3.5,5.0,2
U005,P004,4,1.0941168872170728,0.357948836035411,1,2,3.5,4.333333333333333,3
U005,P007,3,-0.5507968839976611,-1.624537025083786,1,2,3.5,3.5,2
U006,P008,5,-0.1021840373027336,0.6883631462219457,2,2,4.5,4.5,2
U006,P009,4,2.29041781173688,2.010020386968076,0,2,4.5,3.5,2
U007,P010,1,-0.9994097306925886,-0.9637084047107208,4,2,3.0,2.5,2
U007,P001,5,-0.700334499562637,0.0275345258488791,0,2,3.0,4.5,4
U008,P003,4,0.7950416560871212,-0.6332940945241875,3,2,3.5,4.5,2
U008,P005,3,-0.8498721151276128,-1.294122714897254,3,2,3.5,2.5,2
U009,P006,5,-1.1190398231445693,-0.3028797843376556,2,2,4.5,5.0,2
U009,P008,4,-0.1021840373027336,0.6883631462219457,2,2,4.5,4.5,2
U010,P002,2,0.196891193827218,1.0187774564084775,0,2,3.0,3.0,3
U010,P010,4,-0.9994097306925886,-0.9637084047107208,4,2,3.0,2.5,2
U011,P004,5,1.0941168872170728,0.357948836035411,1,2,4.5,4.333333333333333,3
U011,P007,4,-0.5507968839976611,-1.624537025083786,1,2,4.5,3.5,2
U012,P009,3,2.29041781173688,2.010020386968076,0,2,3.5,3.5,2
U012,P001,4,-0.700334499562637,0.0275345258488791,0,2,3.5,4.5,4
